id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
86,GLP Taboão - Galpão para Alugar,36.0,3.9,"4.890,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4890m2-para-locacao-taboao-da-serra/692690,4890.0,,176044.31,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
87,GLP Taboão - Galpão para Alugar,36.0,3.9,"9.780,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9780m2-para-locacao-taboao-da-serra/692691,9780.0,1.0,352088.62,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
88,GLP Taboão - Galpão para Alugar,82.85,3.9,"29.312,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-29312m2-para-locacao-taboao-da-serra/692692,29312.0,1.0,2428401.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
89,GLP Taboão - Galpão para Alugar,36.01,3.9,"3.229,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3229m2-para-locacao-taboao-da-serra/692693,3229.0,1.0,116269.2,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
90,GLP Taboão - Galpão para Alugar,36.0,3.9,"6.695,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6695m2-para-locacao-taboao-da-serra/692694,6695.0,1.0,241043.05,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
91,LOG Hortolândia - Galpão para Alugar,23.0,4.57,"4.079,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4079m2-para-locacao-hortolandia/692268,4079.0,0.69,93820.45,,"Rua Pérola, 200 - Hortolândia"
92,LOG Hortolândia - Galpão para Alugar,23.0,4.57,"4.110,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4110m2-para-locacao-hortolandia/692347,4110.0,0.69,94550.47,,"Rua Pérola, 200 - Hortolândia"
93,CL SP Dutra - Centro Logístico Dutra - Galpão para Alugar,42.0,3.87,"18.822,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-18822m2-para-locacao-sao-paulo/692413,18822.0,1.1,790549.19,,"Rua Cabo Norberto Enrique Weber, 222 - São Paulo"
94,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"29.475,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-29475m2-para-locacao-sao-bernardo-do-campo/692423,29475.0,3.0,1002180.62,,"Avenida Montemor, 513 - São Bernardo do Campo"
95,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"34.430,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-34430m2-para-locacao-sao-bernardo-do-campo/692424,34430.0,3.0,1170643.75,,"Avenida Montemor, 513 - São Bernardo do Campo"
96,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"63.906,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-63906m2-para-locacao-sao-bernardo-do-campo/692425,63906.0,3.0,2172823.5,,"Avenida Montemor, 513 - São Bernardo do Campo"
97,GLP Régis - Galpão para Alugar,24.0,5.1,"6.804,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6804m2-para-locacao-itapecerica-da-serra/692668,6804.0,1.15,163319.28,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
98,GLP Régis - Galpão para Alugar,24.0,5.1,"8.369,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8369m2-para-locacao-itapecerica-da-serra/692669,8369.0,1.15,200858.41,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
99,GLP Régis - Galpão para Alugar,24.0,5.1,"16.738,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-16738m2-para-locacao-itapecerica-da-serra/692670,16738.0,1.15,401716.81,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
100,GLP Régis - Galpão para Alugar,24.0,5.1,"25.107,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-25107m2-para-locacao-itapecerica-da-serra/692671,25107.0,1.15,602575.19,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
101,GLP Régis - Galpão para Alugar,24.0,5.1,"31.912,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-31912m2-para-locacao-itapecerica-da-serra/692672,31912.0,1.15,765894.5,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
102,GLP Embu I - Galpão para Alugar,36.0,,"60.204,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-60204m2-para-locacao-embu-das-artes/692673,60204.0,1.15,2167351.5,,"Avenida Isaltino Victor de Moraes, 437 - Embu das Artes"
